,param_settings,return
0,"[5, 0.1, 0.1]",-0.9540407346150978
1,"[5, 0.1, 0.3]",-0.9540407346150978
2,"[5, 0.1, 0.5]",-0.9540407346150978
3,"[5, 0.1, 0.7]",-0.9540407346150978
4,"[5, 0.1, 1.0]",-0.9540407346150978
5,"[5, 0.3, 0.1]",-0.7389711083925781
6,"[5, 0.3, 0.3]",-0.7389711083925781
7,"[5, 0.3, 0.5]",-0.7389711083925781
8,"[5, 0.3, 0.7]",-0.7389711083925781
9,"[5, 0.3, 1.0]",-0.7389711083925781
10,"[5, 0.5, 0.1]",0.1321752630499368
11,"[5, 0.5, 0.3]",0.1321752630499368
12,"[5, 0.5, 0.5]",0.1321752630499368
13,"[5, 0.5, 0.7]",0.1321752630499368
14,"[5, 0.5, 1.0]",0.1321752630499368
15,"[5, 0.7, 0.1]",0.6620902946111797
16,"[5, 0.7, 0.3]",0.6620902946111797
17,"[5, 0.7, 0.5]",0.6620902946111797
18,"[5, 0.7, 0.7]",0.6620902946111797
19,"[5, 0.7, 1.0]",0.6620902946111797
20,"[5, 1.0, 0.1]",0.3927099749353822
21,"[5, 1.0, 0.3]",0.3927099749353822
22,"[5, 1.0, 0.5]",0.3927099749353822
23,"[5, 1.0, 0.7]",0.3927099749353822
24,"[5, 1.0, 1.0]",0.3927099749353822
25,"[10, 0.1, 0.1]",-0.9615735430115435
26,"[10, 0.1, 0.3]",-0.9615735430115435
27,"[10, 0.1, 0.5]",-0.9615735430115435
28,"[10, 0.1, 0.7]",-0.9615735430115435
29,"[10, 0.1, 1.0]",-0.9615735430115435
30,"[10, 0.3, 0.1]",-0.20840472424156734
31,"[10, 0.3, 0.3]",-0.20840472424156734
32,"[10, 0.3, 0.5]",-0.20840472424156734
33,"[10, 0.3, 0.7]",-0.20840472424156734
34,"[10, 0.3, 1.0]",-0.20840472424156734
35,"[10, 0.5, 0.1]",-0.03829839471396481
36,"[10, 0.5, 0.3]",-0.03829839471396481
37,"[10, 0.5, 0.5]",-0.03829839471396481
38,"[10, 0.5, 0.7]",-0.03829839471396481
39,"[10, 0.5, 1.0]",-0.03829839471396481
40,"[10, 0.7, 0.1]",0.056592951045946575
41,"[10, 0.7, 0.3]",0.056592951045946575
42,"[10, 0.7, 0.5]",0.056592951045946575
43,"[10, 0.7, 0.7]",0.056592951045946575
44,"[10, 0.7, 1.0]",0.056592951045946575
45,"[10, 1.0, 0.1]",0.04545464228562778
46,"[10, 1.0, 0.3]",0.04545464228562778
47,"[10, 1.0, 0.5]",0.04545464228562778
48,"[10, 1.0, 0.7]",0.04545464228562778
49,"[10, 1.0, 1.0]",0.04545464228562778
50,"[15, 0.1, 0.1]",-0.931276466132277
51,"[15, 0.1, 0.3]",-0.931276466132277
52,"[15, 0.1, 0.5]",-0.931276466132277
53,"[15, 0.1, 0.7]",-0.931276466132277
54,"[15, 0.1, 1.0]",-0.931276466132277
55,"[15, 0.3, 0.1]",0.4838884473685457
56,"[15, 0.3, 0.3]",0.4838884473685457
57,"[15, 0.3, 0.5]",0.4838884473685457
58,"[15, 0.3, 0.7]",0.4838884473685457
59,"[15, 0.3, 1.0]",0.4838884473685457
60,"[15, 0.5, 0.1]",0.13894442183884748
